B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
X6650	0.0771704578908391	0	0.0979781899422964	0.0553428817788064	0	0.288666100174405	0	0	0.0501412635115217	0	0.024114157909603	0	0.0115263832924821	0.169768714295682	0.0222612680127955	0	0.0321847096355351	0	0	0.1700867127682	0.000759160787833523	0
X2677	0.0929482333453857	0	0.00547261888387183	0.0749391671658179	0	0.0839898891132008	0.279912495522917	0	0	0	0.192338612727934	0	0	0.154814839987721	0	0.00525808481933968	0.0247016504809593	0	0	0.085095784630385	0.000528623322467601	0
X6780	0.0497366165392481	0	0.0069658897366697	0.143009939737422	0	0.0345984484574274	0.151018113433934	0.0352090005398785	0	0	0.0225457351706788	0.0527615862463807	0	0.119938111280786	0.103441032929024	0.129836877791312	0.136501929091123	0	0	0	0.014436719046117	0
X5656	0	0.0131379145360983	0	0.0119035712580002	0.046401923044908	0	0.215745106829696	0	0.0265839447827812	0	0.13388462282643	0	0	0.43951382767318	0.0218999930020235	0.0047150221849165	0	0	0	0.0862140738619671	0	0
X6781	0.0863396380935465	0	0.0190439534437349	0.0709485597348429	0	0.141306755987333	0	0	0.00410827742169364	0	0.0972375914587823	0	0	0.367280558457838	0.0496259307215426	0.114697499338358	0	0	0	0.0494112353423277	0	0
X5661	0.0742220851176151	0	0.00953974608977732	0.0808915750410772	0	0.299855493094026	0	0.00978512885640589	0.102926956697822	0	0.045167993805589	0	0.0215827120297839	0.121407386859433	0.0265900396941965	0	0.00794613110422587	0.0186040145103573	0	0.157783914610689	0.0236968224890019	0
X2674	0.0737137682602196	0	0.0576288448163444	0.031505911708639	0	0.0423121709515134	0	0.0118013726733084	0.0268795547968495	0	0.0439841712039628	0	0	0.232323685068032	0.0205081488925274	0.105632232437416	0	0	0	0.243328101181395	0	0.110382038009792
X5659	0.134202145335669	0	0.0294401563605545	0.0350731781080863	0	0.0408542087023706	0.230638799439747	0	0	0	0.149694090787501	0	0	0.21928459564818	0.0358773077904028	0.0391419756280634	0.0158104657963186	0	0	0.0699830764031066	0	0
X3809	0	0.0120610028629837	0.0068378917322818	0.149665314165051	0	0.16198858027041	0.0673570963668857	0.0712996832879086	0	0	0.0704073364614832	0	0	0.0700404500297605	0.0940594484015068	0.20319267391243	0.0192576395703852	0	0	0.0727332765988611	0.00109960634005229	0
X5665	0.118595944011971	0	0.00274800045428723	0.249294543130372	0	0	0.272327165984501	0.00889795990820469	0	0	0.153565069106773	0	0	0.0667026406399147	0.0163127474391198	0.0481784272817249	0	0.0082554409954049	0	0.0551220610477277	0	0
