B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
X2684	0.109372560436905	0	0.00569141914951843	0.0681030102012595	0	0	0	0.0158127067742291	0.102880048002273	0	0.0451705564460504	0	0	0.360879589755391	0.05721109964899	0.12045397117993	0.0395964756105876	0	0	0.0748285627948667	0	0
X3979	0.0249602100140458	0	0	0.0428845844014456	0	0.203927300268024	0	0	0.111834473493646	0	0.0910191623481548	0	0.0196638698082784	0.0488949184787797	0.0312040924521018	0	0.00508283611425766	0.00859031505493874	0	0.363408549620856	0.0368311140667252	0.0116985738787468
X3655	0.0375024207135162	0	0.0637828686447295	0.0254324429142421	0	0.15074289620401	0.00711081106106428	0	0.123750424297138	0	0.110426051405851	0	0.00679475204684242	0.197584057784474	0.0634994846540146	0.0640566853900292	0.0180947577362756	0	0	0.113000112937416	0.0182222342103968	0
X6535	0.0385374455965636	0	0.0604092407713248	0.0768372263541514	0	0.139490743885746	0	0.0194080671678848	0.0512049877239151	0	0.136000730702578	0	0	0.136434341215733	0.049646965526905	0.102136401814831	0	0	0	0.189893849240367	0	0
X4950	0.112275828454492	0	0.241280667028696	0.123520335027091	0	0.0555280417942502	0.0363666118595107	0.0183289875277462	0.0234519665130893	0	0.0480453426224085	0	0	0.125532914396541	0.0109781267960017	0.0660976042430608	0.0224071520312371	0.00599546368484919	0.03977052846417	0.0704204295568561	0	0
X6888	0.0703104812793993	0	0.023572975243674	0.124240734296026	0.065042600571608	0	0.228764423604599	0	0	0	0.193685115703681	0	0	0.222972854425532	0	0	0.00696212244127969	0	0	0.0609053989837603	0.0035432934504406	0
X3680	0.180385023289735	0	0.0271286085854221	0.159198956261157	0	0.248812945286425	0	0	0.0578389780159136	0	0.0313105786303847	0	0.0270081218903548	0.0564383415527438	0.0307475694012875	0.0843196872105351	0.0353153394584758	0	0	0.061495850417566	0	0
AA1B	0.282348961116303	0	0.153516225942064	0.0405335844727805	0	0.0970858734078803	0.001027996973076	0	0.121946571390732	0	0.0417448416508804	0	0.0127771860641723	0.0727216449343021	0.0141061401732148	0.022619004911262	0.0608140157947114	0	0.0379142010367665	0.0408437521318548	0	0
X4070	0.104798432178096	0	0.226136420098768	0.0853845269782172	0	0.160667150663614	0	0.00911740919561121	0.128131540403194	0	0.0376807654302007	0	0.000653104644449116	0.0785823234554548	0.0286431766784251	0	0.0491808574789648	0	0	0.0803020916579803	0.0107222011370243	0
X6675	0.0444771865575149	0	0	0.173938550886401	0	0.164627257043283	0	0.00129207094874177	0.247079703149999	0	0.113411820239893	0	0.0351956620141481	0.0305345133773676	0	0.0282927170368271	0.0516447698928173	0.0894620653810639	0	0.0200436834719432	0	0
X6898	0.0600300370505261	0	0	0	0	0.113091651046516	0.0803149679132761	0	0.0623234278609537	0	0.15920266370445	0	0	0.31820690994488	0.0379009856520518	0.0794204184535891	0.00464990138791525	0	0	0.0848590369858427	0	0
A5Z1	0.0331208567996145	0	0.00277945243602043	0	0	0.213565460753425	0	0	0.0629651737475494	0	0.0818790167130873	0	0	0.408628548743784	0.0137403788883924	0.0343087803936878	0.0142011039431777	0	0	0.134811227581261	0	0
A00J	0.0436536578102376	0	0	0.0537914139844461	0	0.200332216305819	0	0	0.0969848587633952	0	0.0692791029717415	0	0.00294395914783278	0.212433183405711	0.0490673728055199	0.138443119646859	0.0184775482558817	0	0	0.114593566902557	0	0
X4071	0.0907985172359294	0	0.158417491759485	0.159734090741052	0	0.146322770028104	0	0.00422367738924359	0.124627688886696	0	0.0207775494599742	0.0100115078160718	0.0191695638775415	0.081438848601364	0.0423384520146178	0.0725552958519198	0.0510836622439865	0	0	0.0185008840940151	0	0
X6138	0.133472401126756	0	0.0195617117899778	0.145361472552551	0	0.148245277798643	0.00253646432723052	0.0293529709433302	0.0480308047538238	0	0.0223889906002637	0.0149216066481583	0	0.228128474638845	0.0467447171043848	0.123629738019267	0.0213324867480898	0.01032843863053	0.00596444431814927	0	0	0
A8F8	0.115844451575224	0	0.021692298715225	0.0680267244692282	0	0	0	0.00369844819695209	0.0337073094353244	0	0.0918154485883845	0	0	0.262350375283526	0.0754696422043288	0.13172563801087	0	0	0	0.142383954581174	0.0532857089397627	0
X6751	0.0551968977377096	0	0.00978535848893606	0.127364234249067	0	0.0742716926402488	0	0	0.0809889637910077	0	0.192853111838871	0	0	0.161520815475029	0.0178088896512089	0	0.052819870578296	0.00869036190825517	0	0.214920339790575	0.00377946385079596	0
X6534	0.0773411851167028	0	0.00938052327906209	0.0560401618675836	0	0.149082022708223	0	0.00200924950581493	0.110477367246451	0	0	0.0310585238439992	0	0.229933235423546	0.0982990548260071	0.11169538416919	0.0735100698908461	0	0.0511732221225736	0	0	0
A92H	0.199641655184717	0	0.152685346016851	0.179611501981232	0	0.0671655000702518	0.0346582509859784	0.0657927521026161	0.0537563984376909	0	0.0379210156399565	0	0.025713261737744	0	0	0.00435107354292092	0.0109431387204552	0.0186368443020973	0	0.126528867850189	0.0225943934272998	0
X3506	0.155870065956094	0	0.124831580767243	0.113216317253496	0	0	0	0.00753991240406595	0.0741598840488385	0	0.0715000475716393	0	0	0.190197822388232	0.0484017085853807	0.0998636908686905	0.00582066490699371	0	0	0.108598305249326	0	0
X6890	0.12304507562377	0	0.0447065333964668	0.103655522543148	0	0	0.258697666537399	0	0	0	0.146696091628419	0	0	0.194750405322073	0.0548560205730387	0.0446398457640421	0.0194950493540113	0	0.0031840104603325	0.00627377879729861	0	0
A1D4	0.0336110385516045	0	0.015986666225992	0.145306475540649	0	0.136813470142823	0.0512411563269988	0	0.127577909323192	0	0.175918269982419	0	0.00621488009486869	0.0962402884269552	0.0377026199053359	0	0.009896757317191	0	0	0.16349046816197	0	0
A00F	0.115989231155609	0	0.0179597353607378	0.0648272601889084	0	0.0886450987613338	0	0	0.132312016179195	0	0.111668410842465	0	0	0.167436596162579	0.0496782949516585	0.0463850506228712	0.0337091541655535	0	0	0.171389151609089	0	0
X3521	0.114088348900817	0	0.0026878277393575	0	0	0.26848638294241	0	0	0.119891665262689	0	0.0754963623935042	0	0	0.125859175617942	0.0177363121422234	0.109618259830314	0.0145164468599847	0	0	0.127672575750495	0	0.0239466425602634
A03F	0.00716200639867622	0.00212121701054638	0.147596885253948	0.0533814551670294	0	0.119097601775518	0	0	0.17770871555182	0	0.11971086537904	0	0	0.162009696109287	0	0	0.0175452084118414	0	0	0.192549175766092	0	0.00111717317620271
X3939	0.166285948545391	0	0.0996832815032102	0.0959625268726458	0	0.153104954646512	0.0552880256941521	0.00589604002676295	0	0	0	0	0.0121852465553528	0	0.0543419140562551	0.13210905694866	0.106608933560001	0	0	0.109410052710922	0.00912401888013607	0
X3679	0.163534314065401	0	0.0761364613583013	0.0868594261995767	0	0.093058292526543	0.0825887491162999	0	0	0	0.0747253927418728	0.0138924859665125	0.0173539251315449	0.0913848566988396	0.0819960385652914	0.109311241533336	0.0839010129580671	0	0.0229238150571546	0	0	0.00233398808125844
A285	0.0531905891091679	0	0.00632246448622545	0.0342329406908089	0	0.0439999267712762	0	0.0129863410320277	0.150758720908838	0	0.0651851967930161	0	0.0313980212797417	0.382451826141581	0.00374569139964875	0.071060415257346	0.0105599992923889	0	0	0.0674344172963507	0.0666734495415831	0
A6GB	0.129609687860776	0	0.100193031110378	0.059461413057498	0	0.0363911203890968	0.0272261412220482	0	0.0392261033751584	0	0.173897170236058	0	0	0.190644958421114	0	0.0431309607670265	0.0120947816376126	0.0107688141063985	0	0.127426052427897	0.0260422337469505	0.023887531641987
X3972	0.0158506858309326	0	0.00175775992958868	0.021276143523297	0	0.204177364942423	0	0	0.0796924958197536	0	0.104181353058921	0	0.0331674155413501	0.19342154888343	0	0.0461310730425249	0.02390999272027	0	0	0.268519574406368	0	0.00791459230114101
X2675	0.125957233424359	0	0.00921640444856311	0.0147871257250974	0	0.124277177632371	0	0.00362056360446379	0.0746148893624071	0	0.0652581343523104	0	0	0.232620630791179	0.0670253537132959	0.184367302247441	0.0200236913828306	0	0	0.0782314933156816	0	0
X6321	0.167744088565072	0	0.0416481450082467	0.245508571052937	0	0.166434345598374	0	0.0348252700516877	0.103126763778905	0	0.0738878448416548	0	0	0.0180252084027057	0.0230883213855705	0	0.014076105194422	0	0	0.105279464088737	0.006355872031688	0
X5916	0.0877018258775353	0	0.0103641081406155	0.163929480227747	0	0.125712878338164	0.0365147117078928	0.0248065427399837	0.0276488048973923	0.0104443380005981	0.0159980196463459	0.0602275403435423	0.00685066069819735	0.0263598679702755	0.11427663562475	0.107528617670486	0.145725734383541	0	0.0359102337329325	0	0	0
A28M	0.0874684419626937	0	0	0.0284341238137219	0	0.215645105605554	0	0	0.0905864816996965	0	0.186351112756809	0	0.00853681039748191	0	0.00451360566064176	0	0	0	0	0.378464318103402	0	0
X5344	0.138597724232446	0	0.010949618234627	0.038205695584922	0	0.0900430496176187	0	0	0.124619049949563	0	0.00678696854205444	0.0186254440695463	0	0.435251103312317	0.0206215916602376	0.0815793706670476	0	0	0	0.0347203841296199	0	0
X3561	0.180046518291319	0	0.0151856853216959	0.0268635253512572	0	0.241045023184987	0.130818428672498	0	0	0	0.0435903157590541	0	0.0167888030629181	0.0964242691450706	0.05092072244359	0.0977732139913488	0.00320813380131203	0	0	0.0931910841779285	0	0.00414427679702118
X6965	0.1826955858084	0	0.0149595657870182	0.0913205344152017	0.0237335558897933	0	0.219606948765297	0	0	0	0.145614403695957	0	0	0.213892653304006	0.00362030692489499	0.0762191231592835	0.00288612259794152	0	0	0.0254511996522063	0	0
A5YV	0.127185386323806	0	0.0378283970537139	0.0817445193269688	0	0.0790701876921066	0.224302091173055	0	0	0	0.223403898559474	0	0	0.0656705369427579	0.0373229803806746	0.0222228189177944	0.0219544346187533	0	0	0.0747171825704548	0.00457756644043946	0
X6548	0.154667843788247	0	0.0353217884465516	0.0877232892118427	0	0.00321021623204739	0.204694049290737	0.00469906392403944	0	0	0.0417200586658962	0	0	0.239100104930193	0.0792889389627341	0.0934799677405384	0.0155964544446285	0	0	0.0404982243625449	0	0
X6651	0.112496327324172	0	0.129595209798566	0.0657991520789424	0	0.0841607294140131	0.052466425874655	0	0.0310723438666224	0	0.0235333400555647	0	0	0.296126471145935	0.0293553698514531	0.0998635244400914	0.00579575834456158	0	0.0697353478054233	0	0	0
X6166	0.0767187829665045	0	0	0.0187409212000434	0	0	0.187092667571445	0	0.0518206789000459	0	0.159685557337643	0	0	0.448396566376598	0.00783374916987573	0	0	0	0	0.0497110764778443	0	0
X6162	0.101083127675587	0	0.00825400276135879	0	0	0.247443247698873	0	0	0.0282934745486315	0	0.0791527608457501	0	0	0.175910496703218	0.100188169072291	0.159445049305152	0.00549177865644208	0	0	0.065925689206578	0	0.0288122035261188
X3870	0.0947793860805805	0	0.0335934993798585	0.191729241962352	0	0.0173971074972272	0	0	0.145812504403567	0	0.0726147910703943	0	0	0.0440376195466751	0.0493647514789852	0.174068960925938	0.11223681187877	0	0	0.0551422377581701	0.00776714065660491	0.0014559473608769
A00R	0.0581254761252553	0	0.00914589955016944	0.208874560823135	0	0.0262717679145565	0.211224241218893	0.0517480093004849	0.0230193051384373	0	0.097640910491935	0	0	0.116262510675683	0.0714084619551239	0.0739549226952189	0.0255258634384418	0	0.0187133328494635	0	0	0.00808473782320158
X5537	0.1321874992413	0	0.151108854702622	0.0648160127404306	0	0.147388930903677	0.00698652989818741	0	0.0547409358467807	0	0.113324813618923	0	0.0266484993224459	0.142432862505368	0	0.0285559291395085	0	0	0	0.118477711711449	0.0133314203693075	0
X3509	0.052302326147231	0	0.00239096788047171	0.11054114768983	0	0.094995829429845	0.228177686716386	0	0	0	0.099836936530846	0	0.00776801719780709	0.140782356889899	0.0346996192359095	0.111771075639804	0.0587136295834534	0	0.000886159725801293	0	0.0503803145429218	0.00675393278979399
X3815	0.108326299810705	0	0.00492380133722492	0.246122297799882	0	0.0267858973152908	0.114927985728308	0.02228520701662	0.0201241143098732	0	0.0742901553702045	0	0	0.121611005687859	0.105542625505685	0.144649581695587	0.0104110284227612	0	0	0	0	0
A5IV	0.193128030533322	0	0.126921372997822	0.140659460997787	0	0.0253544370451593	0.0302363565001141	0.0239858165929325	0.00853542264861431	0	0.0997413306784748	0.02661728738284	0	0.101084546351501	0.0230302703264841	0.150764601289686	0.0203498743075718	0	0.0295911923476907	0	0	0
X6806	0.167456837276735	0	0.177553476084857	0.0824192261679574	0	0.0997772210734615	0	0.000210084744412588	0.121878837062768	0	0.0594701466579622	0	0	0.0573059173881655	0.0104807466918169	0	0.0423508357326317	0	0	0.173302497057413	0.00779417406181879	0
X6142	0.0898750691941152	0	0.013023787261249	0.0114966790799621	0	0.0626037457793212	0	0	0.0998675210500526	0	0.133980595944751	0	0	0.354108357079391	0.0131019169394478	0.0082122113850234	0	0	0	0.202138449541429	0	0.0115916667452582
X3544	0.0599058910564615	0	0.0385932089585903	0.129201842148256	0	0	0.0703236290806486	0.0173380088340264	0.0595495963278431	0	0.0316742901616759	0	0	0.310231572975218	0.0774296398364557	0.148754320193408	0.0155308360885644	0	0.0414671643388513	0	0	0
A1DB	0	0.00700560152212628	0.0105982463223389	0.408539830708721	0	0	0.114280455046382	0	0.0758203294909627	0	0.0549240553455889	0	0.0104218916655657	0.139252709185269	0.0742918308620671	0.0086543713266883	0.0466950508932191	0	0	0.049515627631071	0	0
X2678	0.0834895245662233	0	0.0185980073078232	0.171020139652388	0	0.0922824578391488	0	0.0109725361824877	0.0702073537683195	0	0	0.0843553841720891	0	0.200079696646536	0.0175039635119536	0.19913871948332	0.0126437012363358	0.0166346639348701	0	0.0219025911249488	0	0.00117126057355585
X3664	0.176972625213296	0	0.0458057935443738	0.0558864271274134	0	0.245926681989593	0	0.0460712718454154	0.0587387817965816	0	0	0.12111923627792	0	0.157246573284248	0.0359241150719506	0.000757330673757749	0	0.00811445327573987	0	0.0399671943546174	0.00746951554509338	0
X3660	0.17184970622155	0	0.0170649812614175	0.0677376758021255	0	0.100507472727649	0.0304164731204274	0	0.0485902069009179	0	0.119051623854655	0	0.00938410572997647	0.0306229790447567	0	0.213989053842587	0.0714961746177755	0.00194427304723969	0.0505400920359055	0.0668051817930171	0	0
X3666	0.0885848985858136	0	0.0737483047804182	0.000652622065364884	0	0.135561400813001	0	0	0.0654382057550563	0	0.134792885448714	0	0	0.0162071255802923	0.0865239827832804	0.122382717241923	0.0367480005469152	0	0	0.232407620588216	0	0.00695223581100496
A1D7	0.162324614273686	0	0.0320901189435087	0.060316418548585	0	0.140702248724452	0	0	0.100072383581904	0	0.200229709023938	0	0.0194835250022479	0.0344100022287227	0.0111667421136409	0.0267096211624948	7.63727962276637e-05	0	0	0.199382172269125	0.0130360713314673	0
X6678	0.0913437879987884	0	0.0321999985031391	0	0	0.113174210713327	0	0	0.0914638075132565	0	0.0996535549263738	0	0	0.31757427573276	0	0.0374699875468203	0	0.00864807464127092	0	0.208472302424264	0	0
X5868	0.115910659980094	0	0	0.0314388976227139	0	0.183833376644803	0	0	0.120628135711732	0	0.0143792947186769	0.0381317448945354	0	0.337111906543625	0.028579533459705	0.0928522067357435	0.0117354146679153	0	0	0.0253988290204553	0	0
X2686	0.064839069735804	0	0.019533477449831	0.230443738093619	0	0.083637929268803	0.0614538306023309	0.0461912434986809	0.00485439340073138	0	0.0820586114093143	0	0	0.0855634418144864	0.0690117623861747	0.138922678483445	0.0663011636885117	0	0	0.0298134563484892	0.00641974947087959	0.0109554543488986
X2682	0.00180636790244801	0.0046598701756919	0.0497878754990257	0	0.0217788197360532	0.0157322060458224	0.0883000296741139	0	0.0415851026254644	0	0.0974107205619829	0	0	0.302678872555527	0	0	0.00445579336952036	0	0	0.352235499427631	0	0.0195688424267183
X6304	0.0773947871735109	0	0.0090702296299647	0.13073147944615	0	0	0.278970698182973	0	0	0	0.0566126485506709	0	0	0.15123888716404	0.122849036840443	0.141162245766862	0.0107145220857214	0	0.0184119190825042	0	0	0.00284354607715927
X5914	0.0086400679335703	0	0	0.213295298702475	0	0	0.272017688183838	0	0	0	0.0760173001585377	0.00262440446864821	0	0.210720634637844	0.0678914137349982	0.0434222310272358	0.0122941319279584	0	0	0.0620468601500579	0.0310299690748363	0
X5541	0.0663925845499386	0	0.0330866869175256	0.0747277725819291	0	0	0.03991673414678	0.00568325519283746	0.0540696357343219	0	0.049209647172391	0	0	0.453537696375506	0.066689414244573	0.114691133362122	0.0124863037446759	0	0	0.0295091359773991	0	0
A00U	0.0889578552389941	0	0.00827551825205983	0.138964684596249	0	0.10991256344685	0	0.0145141816265585	0.110874117933286	0	0.175879498114933	0	0.0187498630086558	0.0767237739242362	0.00991386157231318	0	0	0	0	0.233500729542294	0.0137333527435708	0
X3532	0.118957517081854	0	0.0632750138889087	0.0671554446758272	0	0.0666927411098879	0.170755770859546	0.0232384607234082	0	0	0.0413819490714224	0	0	0.0701909490196048	0.0974903766871348	0.161930633893539	0.0644330905724405	0	0.0544980524164271	0	0	0
A1D8	0.0428443088710048	0	0	0.282982728621402	0	0	0	0	0.154377509139148	0	0.0304602804526106	0	0	0.277625109429422	0.0407897678245684	0.0872054077542713	0	0	0	0.0698264899960011	0.0138883979115719	0
X5820	0.0874306755441403	0	0	0.0813271152200755	0	0.124646592070904	0.043418297059418	0	0.00917429964952471	0	0.139936331063653	0	0.0435639643113732	0.121255304170368	0.0198698621845629	0.0653082841408132	0.060359588287097	0	0	0.185719017202422	0.0179906690956478	0
X6855	0.108972249300067	0	0.0202600754591588	0	0	0.0791286126904236	0.00686416078373002	0	0.0701712635925151	0	0.101727119517314	0	0.0337320033230723	0.368028412109048	0	0.110186389399935	0.00690616933535189	0	0	0.0578889550087533	0.0361345894806311	0
X6716	0.155437469665248	0	0.0588648258868233	0.0296256144157291	0	0.0470292259818768	0.27454741768159	0	0	0	0.228135100921569	0	0.0025892855418853	0.106398036942575	0	0.00536259310538673	0.0168261832893783	0	0	0.0751842465679383	0	0
X6927	0.0562877095613619	0	0.0051643438398686	0.186394486329672	0	0.0666030396954053	0.0810415624171971	0.00684187690697118	0	0	0.133295632160163	0	0	0.135409107649028	0.0703349992428997	0.104482510556174	0.00105779426809991	0	0	0.134082354789574	0.0190045825835855	0
X6653	0.0289369893925114	0	0.00322202744675994	0	0	0.172315409133209	0	0	0.0584827020479017	0	0.157744637996562	0	0	0.303315490753547	0.00328487801659738	0.0129366656781196	0	0.0120193318908939	0	0.243077064147082	0	0.00466480349681648
X3864	0.0836758461745473	0	0.00159149353386681	0.178248958004526	0	0.162468752428908	0	0.0129065781719755	0.00351675479576865	0	0.0647399954454627	0	0.0296819579507221	0.178648302517173	0.0216681230851212	0.0664518482831212	0	0	0	0.183159047856424	0.0132423417523828	0
A1DA	0.118308310795621	0	0.0566243322834714	0.280148830061369	0	0	0	0.0337483947869204	0.0914298644168462	0	0.00186642476953263	0.007704786253818	0.0161730084363403	0.167754185680705	0.0290371371386556	0.116112321940468	0.0278206894777335	0	0	0.0334722864688391	0.019799427489679	0
X6704	0.0619295535714429	0	0.127879608521207	0.0771806072657524	0	0.175296759837214	0	0	0.111526017285437	0	0	0.0203315815951361	0	0.245505410661413	0.0615391821602856	0.1061085002182	0.0051553825439083	0	0.00430834958685473	0.0032390467531492	0	0
X3552	0.20448117896094	0	0.190617449669474	0.0735136171177022	0	0.116514948445424	0	0	0.0964058760465598	0	0.0100470091673004	0.0203598858534815	0.0225856962186422	0.0597388125014638	0.0505028551531366	0.0776890783683912	0.0559127309278271	0	0.0216308615696569	0	0	0
A02H	0.0995577931592528	0	0.00951214900013949	0.167945754769137	0	0.14357441419315	0	0.00211407871795813	0.125950240470946	0	0.0423796461329536	0	0.00172021826937214	0.105147443350543	0.0258142411804649	0.068938997770594	0.0504623612658648	0	0	0.117782394027941	0.0391002676916826	0
A28K	0.12437285610633	0	0	0.0215613291007938	0	0.133797458051898	0	0	0.0895627760950684	0	0.091522386629867	0	0	0.303538432355318	0.0109610382937189	0.0444732747717195	0	0	0	0.173711862431709	0.00649858616357809	0
X4323	0.15009419997803	0	0.170052435451097	0.267351228353298	0	0.0882725680542559	0.0419795275667439	0.0326513347810408	0.0887106236039437	0	0	0	0	0.0638394411599947	0.0237138711769186	0.0564314100995582	0	0	0.0169033597751197	0	0	0
X3556	0.0953606534932502	0	0.0116240571935468	0.106408247715887	0	0.246973456346436	0	0	0.13935801034012	0	0	0.0254954725613174	0	0.130740150793178	0.0332556346454136	0.0664930050463403	0.00282514892463654	0.0303488569049349	0	0.0704807101420458	0.0361415810283439	0.00449501486454964
A565	0.219372845912016	0	0.0730461071995901	0.130005976516776	0.00822349358501119	0.224433877059393	0.0710535380214401	0	0.00471379385082747	0	0.0760855069294335	0	0	0.0734392472497978	0.0214759485775337	0.0746326099370913	0	0	0.0183015689414208	0.00450235166329671	0	0.000713134556371861
X6459	0.175443487374631	0	0.00646870337225734	0.0860804154118519	0	0.100098950118252	0.11230652572652	0	0.0497892460468626	0	0.0832330806269027	0	0.0226943293422757	0.216083713286571	0.00367726837545687	0.047877371356563	0.040188067914356	0	0	0.054607945542185	0.00145089550531485	0
X6317	0.0313550313423179	0	0.00643056857124353	0.228704386223161	0	0	0.424878681881507	0	0	0	0.221773646637846	0	0.0151601079172534	0.0143679562717533	0.00538322865869818	0	0.00887728388223851	0	0	0.0430691086139809	0	0
X3520	0.0878879584650356	0	0.0526676720003898	0.0675760265973098	0	0.183562433615954	0	0	0.0457664364289342	0	0.0423588673846191	0	0	0.0031350186093647	0.0714987048148453	0.215502301763652	0.0766170835310498	0	0	0.110134852524671	0.0432926442641741	0
X3941	0.180540396564504	0	0.0358438327172411	0	0	0.354053151630938	0	0	0.0614182549943328	0	0.0371779661933887	0.0379328639023764	0.018028237667839	0.0469899781325158	0.0701461720110192	0	0.0456721221778104	0	0	0.0418750713048534	0.0703219527031815	0
X6569	0.0777299283838882	0	0.0433079856510574	0.0735916890614036	0	0.0636403767066081	0	0	0.0724361269365345	0	0.0648014480888055	0	0	0.40733943331831	0.0397563812134413	0.100819248951284	0	0	0.0214518820734285	0.0351254996152391	0	0
X6926	0.0814790049515328	0	0.0211838536069605	0.0521741415514653	0	0.00255801677833763	0.119975903415178	0	0.0510663395361817	0	0.132649870967113	0	0	0.308504540437112	0.0654361419186047	0.0740846815424931	0.00527105468629038	0	0	0.0746852834254129	0	0.0109311671833182
X6297	0.0742803731763431	0	0.0575738116656904	0.127524847701155	0	0.144334278616032	0	0.00279618477198037	0.0419807516428461	0	0.0619427643267105	0	0	0.198483620901846	0.0875034712504652	0.119454074841352	0.027756269389985	0	0	0.0474756353141306	0.00889391640146376	0
A5YX	0.130515167890736	0	0.0174052930057451	0.0662276126797767	0	0.122319266342823	0.0422456669952609	0	0.0812576443713754	0	0.115754658735943	0	0	0.165601729211423	0	0.00410065009249429	0.0711056482916017	0.0238406377393763	0	0.148123579694646	0.0115024449487987	0
A5ZU	0.185924133517104	0	0.021799720932733	0.0519667533527009	0	0	0.0821956577610214	0	0.0332458254956533	0	0.0842698176846998	0	0	0.326990367307541	0.0795645499820258	0.104284686739297	0	0	0.0138339650210409	0.0159245222061821	0	0
A69D	0.174554937536809	0	0.0282720883446948	0.0354148941094012	0	0.228691226743445	0.0184684393906641	0.00901747583472155	0.0496739468621392	0	0.146134981333151	0	0.0148380867100477	0.070972033469237	0	0.030577095688241	0	0	0	0.179861912484248	0.0135228814932014	0
X6649	0.136217387849234	0	0.0349632749275446	0.0678621555497633	0	0.225749850013289	0	0	0.122062101009131	0	0.0472083176059714	0.00937409334735628	0	0.119182775111964	0.0469267326046235	0.0626124323590386	0.0394330225291538	0	0.0537001551204679	0.0269704421916089	0.0077372597808537	0
X5913	0.010102373100615	0	0	0	0	0.204953657150275	0	0	0.101305990681797	0	0.133061039143176	0	0	0.205360948591001	0.0407497039226639	0	0.0378710674335419	0.0272721758910038	0	0.228260653729794	0.0110623903561323	0
A93T	0.233252233872331	0	0.193215917028321	0.096692281292832	0	0.0794625927217499	0	0.0109214425609209	0.108123921873796	0	0.148074460120144	0	0	0.0475562690901597	0	0	0	0	0	0.0827008814397456	0	0
X3821	0.00610847693552266	0	0.00830035958974653	0.105722408861143	0	0.160865022778358	0	0	0.058275536242498	0	0.0655777506686271	0.0343438649041065	0	0.306820737022657	0.0315393817262524	0.131361799792381	0.0207944302585727	0	0	0.0702902312201349	0	0
X6298	0.0331870207447476	0	0.0202853533101041	0.0729081103514946	0.0614922838539477	0	0.29009467317004	0	0	0	0.190071966066046	0	0	0.104675384981374	0	0.0530425683178819	0.0267931840716487	0.00519387405356541	0	0.140515416571539	0.00174016450761198	0
